subjectCode,Independent clean up,Control,Autonomy Support,Unknown category,Hostility,Affection,Alertness,Construction,Inadequate boundaries setting,Yes Compliance,Feedback,Concern,Compliance,Affect
subjects_219,0.010309278,0.082474227,0.092783505,0,0,0.010309278,0.010309278,0.577319588,0.072164948,0,0.082474227,0.030927835,0.010309278,0.020618557
subjects_225,0.021276596,0.127659574,0.063829787,0,0,0.021276596,0.021276596,0.553191489,0.063829787,0,0.042553191,0.021276596,0.021276596,0.042553191
subjects_226,0.017857143,0.160714286,0.089285714,0,0.017857143,0.107142857,0.017857143,0.357142857,0.017857143,0,0.071428571,0.089285714,0.017857143,0.035714286
subjects_227,0.008264463,0.024793388,0.05785124,0,0,0.099173554,0.008264463,0.595041322,0.008264463,0,0.173553719,0,0.008264463,0.016528926
subjects_236,0.017241379,0.086206897,0.068965517,0,0,0,0.017241379,0.655172414,0.017241379,0,0.086206897,0,0.017241379,0.034482759
subjects_238,0.012195122,0.085365854,0.097560976,0,0,0.109756098,0.012195122,0.512195122,0.036585366,0,0.097560976,0,0.012195122,0.024390244
subjects_239,0.016666667,0.033333333,0.033333333,0,0,0,0.016666667,0.7,0.016666667,0,0.133333333,0,0.016666667,0.033333333
subjects_240,0.009090909,0.081818182,0.081818182,0,0,0.054545455,0.009090909,0.645454545,0.009090909,0,0.072727273,0.009090909,0.009090909,0.018181818
subjects_244,0.012987013,0.077922078,0.025974026,0,0,0.064935065,0.012987013,0.636363636,0.012987013,0,0.116883117,0,0.012987013,0.025974026
subjects_250,0.014705882,0.088235294,0.132352941,0,0,0.014705882,0.014705882,0.573529412,0.014705882,0,0.088235294,0.014705882,0.014705882,0.029411765
subjects_251,0.022727273,0.159090909,0.295454545,0,0,0,0.022727273,0.363636364,0.022727273,0,0.045454545,0,0.022727273,0.045454545
subjects_254,0.021276596,0.127659574,0.106382979,0,0,0.042553191,0.021276596,0.510638298,0.021276596,0,0.085106383,0,0.021276596,0.042553191
subjects_256,0.013333333,0.066666667,0.093333333,0,0,0.066666667,0.013333333,0.573333333,0.04,0,0.093333333,0,0.013333333,0.026666667
subjects_258,0.014925373,0.074626866,0.104477612,0,0,0.029850746,0.014925373,0.582089552,0.044776119,0,0.029850746,0.059701493,0.014925373,0.029850746
subjects_262,0.015384615,0.138461538,0.092307692,0,0,0.061538462,0.015384615,0.523076923,0.015384615,0,0.092307692,0,0.015384615,0.030769231
subjects_263,0.010204082,0.010204082,0.081632653,0,0,0.12244898,0.010204082,0.612244898,0.010204082,0,0.112244898,0,0.010204082,0.020408163
subjects_267,0.020833333,0.125,0.104166667,0,0,0.083333333,0.020833333,0.541666667,0.020833333,0,0.020833333,0,0.020833333,0.041666667
subjects_272,0.011627907,0.058139535,0.023255814,0,0,0,0.011627907,0.686046512,0.011627907,0,0.139534884,0.023255814,0.011627907,0.023255814
subjects_273,0.013333333,0.053333333,0.093333333,0,0,0,0.013333333,0.586666667,0.013333333,0,0.186666667,0,0.013333333,0.026666667
subjects_277,0.010989011,0.032967033,0.142857143,0,0,0.043956044,0.010989011,0.538461538,0.054945055,0,0.131868132,0,0.010989011,0.021978022
subjects_282,0.009708738,0.048543689,0.116504854,0,0.009708738,0.019417476,0.009708738,0.553398058,0.009708738,0,0.126213592,0.067961165,0.009708738,0.019417476
subjects_283,0.013157895,0.078947368,0.131578947,0,0,0.026315789,0.013157895,0.592105263,0.039473684,0,0.039473684,0.026315789,0.013157895,0.026315789
subjects_284,0.012048193,0.012048193,0.313253012,0,0,0.024096386,0.012048193,0.409638554,0.012048193,0,0.156626506,0.012048193,0.012048193,0.024096386
subjects_285,0.015873016,0.063492063,0.063492063,0,0.015873016,0,0.015873016,0.698412698,0.015873016,0,0.063492063,0,0.015873016,0.031746032
subjects_286,0.010638298,0.074468085,0.14893617,0,0.031914894,0.063829787,0.010638298,0.489361702,0.095744681,0,0.042553191,0,0.010638298,0.021276596
subjects_292,0.02173913,0.065217391,0.02173913,0,0.02173913,0.02173913,0.02173913,0.673913043,0.02173913,0,0.065217391,0,0.02173913,0.043478261
subjects_293,0.083333333,0.166666667,0,0,0,0.083333333,0.083333333,0.25,0.083333333,0,0,0,0.083333333,0.166666667
subjects_294,0.010416667,0.03125,0.166666667,0,0,0.052083333,0.010416667,0.520833333,0.03125,0,0.125,0.020833333,0.010416667,0.020833333
subjects_297,0.011363636,0.034090909,0.079545455,0,0,0.011363636,0.011363636,0.75,0.011363636,0,0.056818182,0,0.011363636,0.022727273
subjects_299,0.019230769,0.057692308,0.211538462,0,0,0.019230769,0.019230769,0.538461538,0.019230769,0,0.057692308,0,0.019230769,0.038461538
subjects_304,0.01754386,0.087719298,0.105263158,0,0,0.052631579,0.01754386,0.526315789,0.01754386,0,0.122807018,0,0.01754386,0.035087719
subjects_306,0.015151515,0.075757576,0.136363636,0,0,0.060606061,0.015151515,0.545454545,0.015151515,0,0.075757576,0.015151515,0.015151515,0.03030303
subjects_307,0.018181818,0.109090909,0.290909091,0,0,0.109090909,0.018181818,0.290909091,0.018181818,0,0.090909091,0,0.018181818,0.036363636
subjects_309,0.011764706,0.094117647,0.094117647,0,0,0.011764706,0.011764706,0.552941176,0.035294118,0,0.152941176,0,0.011764706,0.023529412
