subjectCode,child neutral affect,cleanup not requested,mother positive affect,no child independent clean up,no compliance - Passive,yes compliance,child positive affect,no compliance - Defiance,child negative affect,no compliance - Refusal,child alert,no inadequate boundaries setting,yes child independent clean up,unclear compiance
subjects_109,0.166666667,0.166666667,0.166666667,0.166666667,0,0,0,0,0,0,0.166666667,0.166666667,0,0
subjects_113,0.115384615,0.269230769,0.038461538,0.038461538,0.038461538,0.115384615,0,0.230769231,0.076923077,0,0.038461538,0.038461538,0,0
subjects_118,0.071428571,0.214285714,0.071428571,0.214285714,0,0.142857143,0,0,0,0,0.071428571,0.071428571,0.142857143,0
subjects_119,0.129032258,0.258064516,0.032258065,0.032258065,0.096774194,0.032258065,0,0.161290323,0.129032258,0.064516129,0.032258065,0.032258065,0,0
subjects_121,0.05,0.25,0.05,0.05,0.1,0.1,0,0.25,0,0.05,0.05,0.05,0,0
subjects_126,0.022727273,0.227272727,0.022727273,0.204545455,0.022727273,0.227272727,0,0.022727273,0,0.022727273,0.022727273,0.022727273,0.181818182,0
subjects_132,0.071428571,0.214285714,0.071428571,0.071428571,0.142857143,0.285714286,0,0,0,0,0.071428571,0.071428571,0,0
subjects_133,0.1,0.2,0.05,0.05,0.15,0.05,0,0,0.1,0.2,0.05,0.05,0,0
subjects_148,0.052631579,0.210526316,0.052631579,0.157894737,0,0.210526316,0,0,0,0.105263158,0.052631579,0.052631579,0.105263158,0
subjects_149,0.074074074,0.148148148,0.037037037,0.037037037,0.259259259,0.185185185,0.037037037,0.074074074,0,0.074074074,0.037037037,0.037037037,0,0
subjects_152,0.033333333,0.233333333,0.033333333,0.033333333,0.2,0.3,0,0,0,0.1,0.033333333,0.033333333,0,0
subjects_161,0.153846154,0.128205128,0.025641026,0.025641026,0.102564103,0.205128205,0.076923077,0.025641026,0.051282051,0.102564103,0.025641026,0.025641026,0,0.051282051
subjects_166,0.125,0.166666667,0.041666667,0.041666667,0.125,0.166666667,0,0.125,0.125,0,0.041666667,0.041666667,0,0
subjects_169,0.041666667,0.166666667,0.041666667,0.041666667,0.333333333,0.25,0,0,0,0.041666667,0.041666667,0.041666667,0,0
subjects_170,0.045454545,0.227272727,0.045454545,0.136363636,0,0.227272727,0,0.136363636,0,0,0.045454545,0.045454545,0.090909091,0
subjects_177,0.064516129,0.129032258,0.032258065,0.032258065,0.258064516,0.290322581,0,0.096774194,0.032258065,0,0.032258065,0.032258065,0,0
subjects_178,0.051282051,0.179487179,0.025641026,0.025641026,0.333333333,0.307692308,0,0,0.025641026,0,0.025641026,0.025641026,0,0
subjects_180,0.052631579,0.210526316,0.052631579,0.157894737,0.157894737,0.157894737,0,0,0,0,0.052631579,0.052631579,0.105263158,0
subjects_181,0.230769231,0.153846154,0.038461538,0.038461538,0.076923077,0.038461538,0,0.038461538,0.192307692,0.115384615,0.038461538,0.038461538,0,0
subjects_186,0.071428571,0.071428571,0.071428571,0.071428571,0.285714286,0.285714286,0,0,0,0,0.071428571,0.071428571,0,0
subjects_191,0.058823529,0.176470588,0.058823529,0.058823529,0.235294118,0.235294118,0,0,0,0.058823529,0.058823529,0.058823529,0,0
subjects_199,0.045454545,0.318181818,0.045454545,0.045454545,0.181818182,0.181818182,0,0.045454545,0,0.045454545,0.045454545,0.045454545,0,0
subjects_203,0.058823529,0.274509804,0.019607843,0.058823529,0.117647059,0.176470588,0,0.098039216,0.039215686,0.078431373,0.019607843,0.019607843,0.039215686,0
subjects_204,0.04,0.24,0.04,0.08,0.2,0.2,0,0.04,0,0.04,0.04,0.04,0.04,0
subjects_209,0.055555556,0.333333333,0.055555556,0.055555556,0.222222222,0,0,0.111111111,0,0.055555556,0.055555556,0.055555556,0,0
subjects_210,0.172413793,0.137931034,0.034482759,0.034482759,0.206896552,0.137931034,0,0.068965517,0.137931034,0,0.034482759,0.034482759,0,0
subjects_211,0.181818182,0.136363636,0.045454545,0.045454545,0.136363636,0.136363636,0,0.090909091,0.136363636,0,0.045454545,0.045454545,0,0
subjects_214,0.043478261,0.260869565,0.043478261,0.043478261,0.130434783,0.260869565,0,0.043478261,0,0.086956522,0.043478261,0.043478261,0,0
subjects_215,0.0625,0.25,0.0625,0.0625,0.125,0.1875,0,0.125,0,0,0.0625,0.0625,0,0
subjects_217,0.076923077,0.307692308,0.076923077,0.076923077,0.076923077,0.153846154,0,0.076923077,0,0,0.076923077,0.076923077,0,0
subjects_219,0.181818182,0.113636364,0.022727273,0.022727273,0.068181818,0.090909091,0,0.113636364,0.181818182,0.159090909,0.022727273,0.022727273,0,0
subjects_225,0.117647059,0.294117647,0.058823529,0.058823529,0.176470588,0.058823529,0,0.058823529,0.058823529,0,0.058823529,0.058823529,0,0
subjects_226,0.083333333,0.25,0.083333333,0.083333333,0.083333333,0.166666667,0,0.083333333,0,0,0.083333333,0.083333333,0,0
subjects_227,0.074074074,0.074074074,0.037037037,0.037037037,0.296296296,0.296296296,0,0.074074074,0.037037037,0,0.037037037,0.037037037,0,0
subjects_236,0.047619048,0.19047619,0.047619048,0.047619048,0.095238095,0.285714286,0,0.19047619,0,0,0.047619048,0.047619048,0,0
subjects_238,0.107142857,0.25,0.035714286,0.035714286,0.071428571,0.178571429,0,0,0.107142857,0.142857143,0.035714286,0.035714286,0,0
subjects_239,0.055555556,0.111111111,0.055555556,0.055555556,0.222222222,0.333333333,0,0,0,0.055555556,0.055555556,0.055555556,0,0
subjects_240,0.041666667,0.083333333,0.041666667,0.041666667,0.125,0.25,0,0.166666667,0,0.166666667,0.041666667,0.041666667,0,0
subjects_244,0.166666667,0.166666667,0.166666667,0.166666667,0,0,0,0,0,0,0.166666667,0.166666667,0,0
subjects_250,0.068965517,0.206896552,0.034482759,0.137931034,0.103448276,0.172413793,0,0,0.034482759,0.068965517,0.034482759,0.034482759,0.103448276,0
subjects_251,0.041666667,0.416666667,0.041666667,0.041666667,0.125,0.083333333,0,0.083333333,0,0.083333333,0.041666667,0.041666667,0,0
subjects_254,0.0625,0.25,0.0625,0.125,0.0625,0.1875,0,0.0625,0,0,0.0625,0.0625,0.0625,0
subjects_256,0.037037037,0.37037037,0.037037037,0.074074074,0.111111111,0.148148148,0,0.074074074,0,0.037037037,0.037037037,0.037037037,0.037037037,0
subjects_258,0.111111111,0.259259259,0.037037037,0.037037037,0.222222222,0.111111111,0.037037037,0.074074074,0.037037037,0,0.037037037,0.037037037,0,0
subjects_262,0.058823529,0.117647059,0.058823529,0.058823529,0.235294118,0.294117647,0,0.058823529,0,0,0.058823529,0.058823529,0,0
subjects_263,0.19047619,0.142857143,0.047619048,0.047619048,0.095238095,0.142857143,0,0.142857143,0.095238095,0,0.047619048,0.047619048,0,0
subjects_267,0.0625,0.25,0.0625,0.0625,0.0625,0.0625,0,0.25,0.0625,0,0.0625,0.0625,0,0
subjects_272,0.058823529,0.117647059,0.058823529,0.058823529,0.176470588,0.176470588,0,0.117647059,0,0.117647059,0.058823529,0.058823529,0,0
subjects_273,0.045454545,0.272727273,0.045454545,0.090909091,0.181818182,0.227272727,0,0,0,0,0.045454545,0.045454545,0.045454545,0
subjects_277,0.03030303,0.212121212,0.03030303,0.03030303,0.242424242,0.242424242,0,0.090909091,0,0.060606061,0.03030303,0.03030303,0,0
subjects_282,0.133333333,0.266666667,0.033333333,0.033333333,0.033333333,0.233333333,0,0.033333333,0.1,0.066666667,0.033333333,0.033333333,0,0
subjects_283,0.032258065,0.258064516,0.032258065,0.064516129,0.258064516,0.225806452,0,0.032258065,0,0,0.032258065,0.032258065,0.032258065,0
subjects_284,0.041666667,0.25,0.041666667,0.041666667,0.083333333,0.208333333,0,0.166666667,0,0.083333333,0.041666667,0.041666667,0,0
subjects_285,0.125,0.0625,0.0625,0.0625,0.1875,0.25,0,0.0625,0.0625,0,0.0625,0.0625,0,0
subjects_286,0.047619048,0.238095238,0.047619048,0.047619048,0.238095238,0.142857143,0,0.142857143,0,0,0.047619048,0.047619048,0,0
subjects_292,0.05,0.25,0.05,0.15,0,0.2,0,0.05,0,0.05,0.05,0.05,0.1,0
subjects_293,0.0625,0.3125,0.0625,0.125,0.0625,0.0625,0,0.125,0,0,0.0625,0.0625,0.0625,0
subjects_294,0.043478261,0.260869565,0.043478261,0.043478261,0.130434783,0.260869565,0,0.130434783,0,0,0.043478261,0.043478261,0,0
subjects_297,0.04,0.04,0.04,0.04,0.32,0.2,0,0.24,0,0,0.04,0.04,0,0
subjects_299,0.083333333,0.166666667,0.083333333,0.083333333,0.166666667,0.166666667,0,0.083333333,0,0,0.083333333,0.083333333,0,0
subjects_304,0.047619048,0.19047619,0.047619048,0.095238095,0.142857143,0.095238095,0,0.19047619,0,0.047619048,0.047619048,0.047619048,0.047619048,0
subjects_306,0.166666667,0.166666667,0.166666667,0.166666667,0,0,0,0,0,0,0,0.166666667,0,0
subjects_307,0.24,0.2,0.04,0.04,0.04,0.04,0,0.08,0.2,0.04,0.04,0.04,0,0
subjects_309,0.068965517,0.206896552,0.034482759,0.034482759,0.24137931,0.137931034,0,0.068965517,0.034482759,0.103448276,0.034482759,0.034482759,0,0
