subjects,posBposT,posBnegT,negBposT,negBnegT,posBunknown,negBunknown
subjects_210,0.467889908,0,0.018348624,0,0.770642202,0.064220183
subjects_211,0.591549296,0,0,0,0.802816901,0
subjects_214,0.535714286,0,0,0,0.80952381,0
subjects_215,0.177777778,0,0.044444444,0,1.244444444,0.022222222
subjects_217,0.481481481,0,0,0,1.111111111,0.111111111
subjects_219,0.432989691,0,0.06185567,0,1.06185567,0
subjects_225,0.468085106,0.021276596,0.042553191,0,0.936170213,0.021276596
subjects_226,0.517857143,0,0,0,0.803571429,0
subjects_227,0.611570248,0,0,0,0.661157025,0
subjects_236,0.448275862,0.051724138,0,0,0.948275862,0.051724138
subjects_238,0.646341463,0,0,0,0.792682927,0
subjects_239,0.633333333,0,0,0,0.766666667,0
subjects_240,0.409090909,0,0.009090909,0,0.818181818,0.036363636
subjects_244,0.545454545,0,0,0,0.61038961,0
subjects_250,0.411764706,0,0,0,1.102941176,0
subjects_251,0.522727273,0,0,0,1.159090909,0
subjects_254,0.404255319,0,0,0,1.063829787,0
subjects_256,0.493333333,0,0,0,0.92,0.026666667
subjects_258,0.552238806,0,0,0,0.940298507,0.029850746
subjects_262,0.507692308,0,0,0,0.846153846,0
subjects_263,0.642857143,0,0.030612245,0,0.612244898,0
subjects_267,0.333333333,0,0.104166667,0,1.020833333,0
subjects_272,0.488372093,0.023255814,0.011627907,0,0.697674419,0.069767442
subjects_273,0.586666667,0,0.013333333,0,0.773333333,0
subjects_277,0.637362637,0,0,0,0.791208791,0
subjects_282,0.514563107,0,0.019417476,0,0.825242718,0.009708738
subjects_283,0.486842105,0,0.026315789,0,0.960526316,0.013157895
subjects_284,0.481927711,0,0,0,0.939759036,0
subjects_285,0.428571429,0,0.031746032,0,0.873015873,0.015873016
subjects_286,0.542553191,0.010638298,0,0,0.723404255,0.010638298
subjects_292,0.456521739,0,0,0,1.108695652,0
subjects_293,0.166666667,0,0.25,0,2.416666667,0
subjects_294,0.635416667,0,0,0,0.666666667,0
subjects_297,0.420454545,0,0.011363636,0,0.897727273,0.022727273
subjects_299,0.423076923,0,0.038461538,0,0.884615385,0
subjects_304,0.50877193,0,0,0,0.929824561,0.035087719
subjects_306,0.545454545,0,0,0,0.606060606,0.03030303
subjects_307,0.509090909,0,0.036363636,0,0.981818182,0.036363636
subjects_309,0.529411765,0,0.011764706,0,0.870588235,0
