subjectCode,Unknown category,Yes Compliance,Autonomy Support,Affect,Affection,Compliance,Construction,Hostility,Independent clean up,Inadequate boundaries setting,Concern,Control,Feedback,Alertness
subjects_161,0,0,0.121212121,0.03030303,0.015151515,0.015151515,0.424242424,0.075757576,0.015151515,0.015151515,0,0.212121212,0.060606061,0.015151515
subjects_166,0,0,0.08045977,0.022988506,0.011494253,0.011494253,0.436781609,0,0.011494253,0.195402299,0,0.172413793,0.045977011,0.011494253
subjects_169,0,0,0.145299145,0.017094017,0.034188034,0.008547009,0.64957265,0,0.008547009,0.008547009,0,0.008547009,0.111111111,0.008547009
subjects_170,0,0,0.014084507,0.028169014,0,0.014084507,0.704225352,0,0.014084507,0.014084507,0,0.056338028,0.14084507,0.014084507
subjects_177,0,0,0.016666667,0.016666667,0.008333333,0.008333333,0.675,0.041666667,0.008333333,0.025,0.05,0.075,0.066666667,0.008333333
subjects_178,0,0,0.186440678,0.016949153,0.084745763,0.008474576,0.559322034,0,0.008474576,0.008474576,0,0.025423729,0.093220339,0.008474576
subjects_180,0,0,0.173913043,0.043478261,0.043478261,0.02173913,0.47826087,0.02173913,0.02173913,0.02173913,0,0.043478261,0.108695652,0.02173913
subjects_181,0,0,0.15625,0.0625,0.0625,0.03125,0.21875,0,0.03125,0.03125,0.09375,0.28125,0,0.03125
subjects_186,0,0,0.090909091,0.036363636,0,0.018181818,0.672727273,0,0.018181818,0.018181818,0,0,0.127272727,0.018181818
subjects_191,0,0,0.089285714,0.035714286,0.017857143,0.017857143,0.571428571,0.017857143,0.017857143,0.017857143,0.017857143,0.071428571,0.107142857,0.017857143
subjects_199,0,0,0.161764706,0.029411765,0.073529412,0.014705882,0.529411765,0,0.014705882,0.014705882,0,0.058823529,0.088235294,0.014705882
subjects_203,0,0,0.086538462,0.019230769,0.028846154,0.009615385,0.548076923,0.009615385,0.009615385,0.028846154,0.019230769,0.182692308,0.048076923,0.009615385
subjects_204,0,0,0.114942529,0.022988506,0.034482759,0.011494253,0.609195402,0.011494253,0.011494253,0.011494253,0,0.034482759,0.126436782,0.011494253
subjects_209,0,0,0.129032258,0.032258065,0.064516129,0.016129032,0.387096774,0,0.016129032,0.274193548,0.016129032,0.048387097,0,0.016129032
subjects_210,0,0,0.036697248,0.018348624,0.146788991,0.009174312,0.605504587,0.009174312,0.009174312,0.009174312,0.009174312,0.128440367,0.009174312,0.009174312
subjects_211,0,0,0.042253521,0.028169014,0.028169014,0.014084507,0.633802817,0,0.014084507,0.014084507,0.014084507,0.014084507,0.183098592,0.014084507
subjects_214,0,0,0.083333333,0.023809524,0.083333333,0.011904762,0.488095238,0,0.011904762,0.05952381,0.023809524,0.142857143,0.05952381,0.011904762
subjects_215,0,0,0.044444444,0.044444444,0,0.022222222,0.555555556,0,0.022222222,0.022222222,0.044444444,0.222222222,0,0.022222222
subjects_217,0,0,0.037037037,0.074074074,0.111111111,0.037037037,0.407407407,0.037037037,0.037037037,0.111111111,0.037037037,0.074074074,0,0.037037037
subjects_219,0,0,0.092783505,0.020618557,0.010309278,0.010309278,0.577319588,0,0.010309278,0.072164948,0.030927835,0.082474227,0.082474227,0.010309278
subjects_225,0,0,0.063829787,0.042553191,0.021276596,0.021276596,0.553191489,0,0.021276596,0.063829787,0.021276596,0.127659574,0.042553191,0.021276596
subjects_226,0,0,0.089285714,0.035714286,0.107142857,0.017857143,0.357142857,0.017857143,0.017857143,0.017857143,0.089285714,0.160714286,0.071428571,0.017857143
subjects_227,0,0,0.05785124,0.016528926,0.099173554,0.008264463,0.595041322,0,0.008264463,0.008264463,0,0.024793388,0.173553719,0.008264463
subjects_236,0,0,0.068965517,0.034482759,0,0.017241379,0.655172414,0,0.017241379,0.017241379,0,0.086206897,0.086206897,0.017241379
subjects_238,0,0,0.097560976,0.024390244,0.109756098,0.012195122,0.512195122,0,0.012195122,0.036585366,0,0.085365854,0.097560976,0.012195122
subjects_239,0,0,0.033333333,0.033333333,0,0.016666667,0.7,0,0.016666667,0.016666667,0,0.033333333,0.133333333,0.016666667
subjects_240,0,0,0.081818182,0.018181818,0.054545455,0.009090909,0.645454545,0,0.009090909,0.009090909,0.009090909,0.081818182,0.072727273,0.009090909
subjects_244,0,0,0.025974026,0.025974026,0.064935065,0.012987013,0.636363636,0,0.012987013,0.012987013,0,0.077922078,0.116883117,0.012987013
subjects_250,0,0,0.132352941,0.029411765,0.014705882,0.014705882,0.573529412,0,0.014705882,0.014705882,0.014705882,0.088235294,0.088235294,0.014705882
subjects_251,0,0,0.295454545,0.045454545,0,0.022727273,0.363636364,0,0.022727273,0.022727273,0,0.159090909,0.045454545,0.022727273
subjects_253,0,0,0,0.333333333,0,0.166666667,0,0,0.166666667,0.166666667,0,0,0,0.166666667
subjects_254,0,0,0.106382979,0.042553191,0.042553191,0.021276596,0.510638298,0,0.021276596,0.021276596,0,0.127659574,0.085106383,0.021276596
subjects_256,0,0,0.093333333,0.026666667,0.066666667,0.013333333,0.573333333,0,0.013333333,0.04,0,0.066666667,0.093333333,0.013333333
subjects_258,0,0,0.104477612,0.029850746,0.029850746,0.014925373,0.582089552,0,0.014925373,0.044776119,0.059701493,0.074626866,0.029850746,0.014925373
subjects_262,0,0,0.092307692,0.030769231,0.061538462,0.015384615,0.523076923,0,0.015384615,0.015384615,0,0.138461538,0.092307692,0.015384615
subjects_263,0,0,0.081632653,0.020408163,0.12244898,0.010204082,0.612244898,0,0.010204082,0.010204082,0,0.010204082,0.112244898,0.010204082
subjects_267,0,0,0.104166667,0.041666667,0.083333333,0.020833333,0.541666667,0,0.020833333,0.020833333,0,0.125,0.020833333,0.020833333
subjects_272,0,0,0.023255814,0.023255814,0,0.011627907,0.686046512,0,0.011627907,0.011627907,0.023255814,0.058139535,0.139534884,0.011627907
subjects_273,0,0,0.093333333,0.026666667,0,0.013333333,0.586666667,0,0.013333333,0.013333333,0,0.053333333,0.186666667,0.013333333
subjects_277,0,0,0.142857143,0.021978022,0.043956044,0.010989011,0.538461538,0,0.010989011,0.054945055,0,0.032967033,0.131868132,0.010989011
subjects_279,0,0,0,0.333333333,0,0.166666667,0,0,0.166666667,0.166666667,0,0,0,0.166666667
subjects_282,0,0,0.116504854,0.019417476,0.019417476,0.009708738,0.553398058,0.009708738,0.009708738,0.009708738,0.067961165,0.048543689,0.126213592,0.009708738
subjects_283,0,0,0.131578947,0.026315789,0.026315789,0.013157895,0.592105263,0,0.013157895,0.039473684,0.026315789,0.078947368,0.039473684,0.013157895
subjects_284,0,0,0.313253012,0.024096386,0.024096386,0.012048193,0.409638554,0,0.012048193,0.012048193,0.012048193,0.012048193,0.156626506,0.012048193
subjects_285,0,0,0.063492063,0.031746032,0,0.015873016,0.698412698,0.015873016,0.015873016,0.015873016,0,0.063492063,0.063492063,0.015873016
subjects_286,0,0,0.14893617,0.021276596,0.063829787,0.010638298,0.489361702,0.031914894,0.010638298,0.095744681,0,0.074468085,0.042553191,0.010638298
subjects_292,0,0,0.02173913,0.043478261,0.02173913,0.02173913,0.673913043,0.02173913,0.02173913,0.02173913,0,0.065217391,0.065217391,0.02173913
subjects_293,0,0,0,0.166666667,0.083333333,0.083333333,0.25,0,0.083333333,0.083333333,0,0.166666667,0,0.083333333
subjects_294,0,0,0.166666667,0.020833333,0.052083333,0.010416667,0.520833333,0,0.010416667,0.03125,0.020833333,0.03125,0.125,0.010416667
subjects_297,0,0,0.079545455,0.022727273,0.011363636,0.011363636,0.75,0,0.011363636,0.011363636,0,0.034090909,0.056818182,0.011363636
subjects_299,0,0,0.211538462,0.038461538,0.019230769,0.019230769,0.538461538,0,0.019230769,0.019230769,0,0.057692308,0.057692308,0.019230769
subjects_304,0,0,0.105263158,0.035087719,0.052631579,0.01754386,0.526315789,0,0.01754386,0.01754386,0,0.087719298,0.122807018,0.01754386
subjects_306,0,0,0.136363636,0.03030303,0.060606061,0.015151515,0.545454545,0,0.015151515,0.015151515,0.015151515,0.075757576,0.075757576,0.015151515
subjects_307,0,0,0.290909091,0.036363636,0.109090909,0.018181818,0.290909091,0,0.018181818,0.018181818,0,0.109090909,0.090909091,0.018181818
subjects_309,0,0,0.094117647,0.023529412,0.011764706,0.011764706,0.552941176,0,0.011764706,0.035294118,0,0.094117647,0.152941176,0.011764706
