subjectCode,subjects,posBposT,posBunknown,negBunknown,posBnegT,negBposT,negBnegT
subjects_244,subjects_251,0.522727273,1.159090909,0,0,0,0
subjects_250,subjects_254,0.404255319,1.063829787,0,0,0,0
subjects_251,subjects_256,0.493333333,0.92,0.026666667,0,0,0
subjects_253,subjects_258,0.552238806,0.940298507,0.029850746,0,0,0
subjects_254,subjects_262,0.507692308,0.846153846,0,0,0,0
subjects_256,subjects_263,0.642857143,0.612244898,0,0,0.030612245,0
subjects_258,subjects_267,0.333333333,1.020833333,0,0,0.104166667,0
subjects_262,subjects_272,0.488372093,0.697674419,0.069767442,0.023255814,0.011627907,0
subjects_263,subjects_273,0.586666667,0.773333333,0,0,0.013333333,0
subjects_267,subjects_277,0.637362637,0.791208791,0,0,0,0
subjects_272,subjects_282,0.514563107,0.825242718,0.009708738,0,0.019417476,0
subjects_273,subjects_283,0.486842105,0.960526316,0.013157895,0,0.026315789,0
subjects_277,subjects_284,0.481927711,0.939759036,0,0,0,0
subjects_279,subjects_285,0.428571429,0.873015873,0.015873016,0,0.031746032,0
subjects_282,subjects_286,0.542553191,0.723404255,0.010638298,0.010638298,0,0
subjects_283,subjects_292,0.456521739,1.108695652,0,0,0,0
subjects_284,subjects_293,0.166666667,2.416666667,0,0,0.25,0
subjects_285,subjects_294,0.635416667,0.666666667,0,0,0,0
subjects_286,subjects_297,0.420454545,0.897727273,0.022727273,0,0.011363636,0
subjects_292,subjects_299,0.423076923,0.884615385,0,0,0.038461538,0
subjects_293,subjects_304,0.50877193,0.929824561,0.035087719,0,0,0
subjects_294,subjects_306,0.545454545,0.606060606,0.03030303,0,0,0
subjects_297,subjects_307,0.509090909,0.981818182,0.036363636,0,0.036363636,0
subjects_299,subjects_309,0.529411765,0.870588235,0,0,0.011764706,0
subjects_304,,,,,,,
subjects_306,,,,,,,
subjects_307,,,,,,,
subjects_309,,,,,,,
