,child neutral affect,cleanup not requested,no child independent clean up,v direct concrete inst,p touching toys for cleanup,v small mission steps,no compliance - Passive,p signal const,yes compliance,v positive feedback,p positive feedback,v signal const,v perspective/mirroring,p mother cleanup,v concern,p concern exp,child positive affect,v choice,p gentle touch for clean up,v rational,p affection expression,v motivation arousal,v unclear,v inadequate perspective/invalidation,v action oriented feedback,v affection,v hostility,no compliance - Defiance,p modeling,v modeling,p forceful touch for cleanup,child negative affect,no compliance - Refusal,child alert,no inadequate boundaries setting,indecisive expectations setting,legitimazinig expectation violation,v glorificaion feedback,v negative cr,yes child independent clean up,v threat punishment,p motivational arrousal,child tired,v material reward,v negative feedback,unclear compiance
child alert,-0.169971751,0.159835931,0.16427281,-0.075390942,-0.026094044,0.081414057,-0.053649277,-0.071140118,0.149232824,-0.086455754,0.043523234,-0.080090594,-0.109225032,-0.143016414,-0.004410444,-0.085603856,-0.240921314,-0.217213433,-0.007260766,0.095615878,-0.043024813,-0.160043418,-0.172607953,-0.040725503,-0.113139595,0.026601126,0.046874486,0.287926409,0.040716645,0.057937949,-0.008632014,-0.091514984,-0.007293712,1,0.522503652,0.158698496,0.143540469,0.136143357,0.15901513,0.16427281,0.035548777,0.123889299,-0.262533246,0.072145732,0.062173008,0.035548777
no inadequate boundaries setting,0.073843934,0.432312105,-0.08800402,0.238772428,0.031998885,-0.060816851,0.144201738,-0.046129877,0.08874765,-0.216873677,-0.073330835,0.072214285,0.03079219,0.106002557,0.167416071,0.067865441,-0.016157322,-0.215845188,0.149625185,0.246930233,0.069556007,-0.08704754,0.011786018,0.068216646,-0.225702952,0.200439633,0.21259766,0.526000451,-0.005891995,0.112822905,0.18806048,0.059559739,0.1806452,0.522503652,1,0.671930036,0.766982487,0.066400159,0.345569377,-0.08800402,0.173240293,0.023086456,0.009670766,0.11386352,0.09428099,-0.042388582
indecisive expectations setting,0.111923649,0.305475157,-0.200286621,0.299420789,-0.030947529,-0.113503231,0.263721403,0.009747795,-0.069834787,-0.211709148,-0.16712944,0.138859739,-0.035951135,0.100483785,0.061957988,0.084184592,0.131857629,-0.024142213,0.094675845,0.143515332,0.068149735,-0.038911547,0.155798753,0.053932511,-0.135293405,0.151245725,0.210276336,0.439894226,0.114116387,0.215676766,0.148562183,0.056290782,0.173842575,0.158698496,0.671930036,1,0.346410666,0.146122595,0.239281375,-0.200286621,0.221810066,0.018267639,-0.075810519,0.169046451,0.061097119,-0.043342197
legitimazinig expectation violation,0.164683416,0.379349042,-0.097180699,0.269071124,0.001722402,-0.132055948,0.087624615,-0.017371036,0.019861626,-0.188183611,-0.044694138,0.025528116,0.134903708,0.133874409,0.1534987,0.122817639,0.084753733,-0.142823438,0.146537585,0.185843972,0.127814879,0.047122837,0.120199066,0.123380485,-0.171440156,0.25825402,0.198692571,0.390481708,-0.111128087,0.027080159,0.245611545,0.091101758,0.238138435,0.143540469,0.766982487,0.346410666,1,0.001474858,0.332794877,-0.097180699,0.224082019,-0.045776865,0.025617346,0.124431892,0.027954731,-0.054922064
v glorificaion feedback,0.073077507,0.028997778,0.044960325,0.005170511,-0.148545844,0.076663551,0.093144006,0.133860013,0.026298672,0.139950709,0.129688479,0.085041307,0.164315867,-0.010914433,-0.056432381,0.071147252,0.031068277,-0.058278371,-0.084045432,0.13524768,0.031992736,0.093361903,-0.052840642,-0.086990362,0.098876315,-0.048883824,-0.082501175,0.091481696,0.017513186,0.031730586,0.09851981,0.013769411,0.083897346,0.136143357,0.066400159,0.146122595,0.001474858,1,0.052941523,0.044960325,0.251694592,0.146746577,0.103390396,0.085507186,-0.065029704,-0.037182156
v negative cr,0.293342567,0.162116571,0.005145801,0.068015703,0.076022069,0.00695091,0.143289061,-0.021131177,-0.108972317,-0.153823291,-0.124137422,0.097806388,-0.044916049,0.130565436,-0.039653294,0.026100669,0.228708299,-0.173453166,0.046328693,0.081538314,0.027729489,-0.019988253,-0.06171775,0.22958303,0.045051467,0.03097804,0.268343615,0.274904226,-0.101591976,-0.008551112,0.191579696,0.20296049,0.177232131,0.15901513,0.345569377,0.239281375,0.332794877,0.052941523,1,0.005145801,0.212034108,0.015191147,-0.075961776,0.04023035,0.106198889,-0.043428673
yes child independent clean up,-0.257914316,0.21868058,1,-0.274093005,0.100693826,0.044669869,-0.170309348,0.013395833,0.156015326,0.043607448,-0.005853484,-0.30263314,-0.002823868,-0.176549219,-0.15696408,-0.063103478,-0.171762302,0.141447116,-0.270752826,-0.077202778,-0.040936894,-0.052686774,-0.063758387,-0.136167113,0.191914355,-0.166898367,-0.019031096,-0.13158092,-0.029023876,-0.079576088,0.06357522,-0.217405891,0.017240029,0.16427281,-0.08800402,-0.200286621,-0.097180699,0.044960325,0.005145801,1,-0.044864599,-0.056059247,-0.078473378,-0.091052059,0.087407892,-0.044864599
v threat punishment,0.110132786,0.14250174,-0.044864599,0.132030186,-0.05924903,0.027933335,0.1377001,0.146267387,-0.034734654,0.011528844,-0.052090724,0.155769649,-0.006650905,0.004958897,-0.075540869,-0.043388309,0.283060112,-0.038776486,0.108631947,0.159961097,-0.078862391,0.101541091,-0.01379737,0.149257511,-0.03030599,0.004998221,0.160615476,0.08939054,0.143660282,0.157570595,0.334012225,-0.076506158,0.180831992,0.035548777,0.173240293,0.221810066,0.224082019,0.251694592,0.212034108,-0.044864599,1,-0.033835446,-0.016981706,-0.019703744,-0.01698009,-0.009708738
p motivational arrousal,0.065869093,0.071492433,-0.056059247,-0.090387366,0.166125277,0.113352029,-0.008834474,0.042455744,0.15624803,0.127404516,0.128619898,-0.022058107,-0.005495834,0.066212446,0.13176421,0.190023848,-0.042435944,-0.135138028,0.029437565,0.027481645,-0.058550961,0.510397894,-0.048084536,-0.129052879,-0.10561792,0.014734124,-0.048929468,0.119213165,0.056018282,0.050132304,-0.099068052,0.054150967,0.23990632,0.123889299,0.023086456,0.018267639,-0.045776865,0.146746577,0.015191147,-0.056059247,-0.033835446,1,0.145265183,-0.068668551,-0.059176478,-0.033835446
child tired,0.094738521,0.023186236,-0.078473378,-0.128939311,0.079644197,-0.063228824,-0.135419591,-0.008623773,-0.00964364,0.016324276,0.075267018,-0.164061423,0.129904106,-0.027948538,0.096895132,0.068450864,-0.065013775,-0.067824563,0.153393369,0.242895028,0.063495938,0.042950742,-0.024133197,-0.095981127,-0.053008685,-0.045655103,-0.09364502,-0.070801993,-0.064585629,-0.08774076,-0.049721366,0.108795225,0.101337581,-0.262533246,0.009670766,-0.075810519,0.025617346,0.103390396,-0.075961776,-0.078473378,-0.016981706,0.145265183,1,-0.034464129,-0.029700143,-0.016981706
v material reward,0.07908742,0.010937351,-0.091052059,0.185409558,-0.082499862,-0.008721585,0.093555446,0.002982587,-0.024780847,-0.030396018,0.002397645,0.156480894,-0.032714603,0.007935084,-0.153309108,-0.088055949,0.091225001,-0.078696321,0.018317043,-0.018703432,0.057902736,0.082756839,-0.028001563,0.252608449,0.111084582,0.015703409,0.139073509,0.078456519,-0.02373625,-0.087202143,0.136930209,0.070706362,0.15821389,0.072145732,0.11386352,0.169046451,0.124431892,0.085507186,0.04023035,-0.091052059,-0.019703744,-0.068668551,-0.034464129,1,-0.034460848,0.487667661
v negative feedback,0.048761404,0.115762242,0.087407892,-0.034156044,0.019789219,0.023754606,-0.013373272,0.031829379,0.106765329,-0.092627754,-0.091104033,0.098096988,-0.098099208,-0.030382803,0.058161187,0.071219892,-0.065007587,0.092100963,0.058849112,-0.091983498,-0.13792632,-0.114911317,-0.024130899,0.025321841,-0.05300364,0.02092949,0.18044458,0.236125997,0.10534916,0.05989424,0.184644706,0.064434115,0.0552501,0.062173008,0.09428099,0.061097119,0.027954731,-0.065029704,0.106198889,0.087407892,-0.01698009,-0.059176478,-0.029700143,-0.034460848,1,-0.01698009
unclear compiance,0.041424924,-0.044864599,0.080868489,-0.088873545,-0.05586667,0.05640727,-0.14298048,0.142246679,-0.05599724,-0.052090724,0.095471721,-0.074822686,0.049588967,-0.075540869,-0.043388309,0.294496885,-0.038776486,-0.010184245,-0.098437598,-0.078862391,0.197109177,-0.01379737,0.215106414,-0.03030599,-0.048316133,0.225307821,-0.018552754,0.017308468,-0.092063718,0.358885476,0.115692239,0.150985935,0.035548777,-0.042388582,-0.043342197,-0.054922064,-0.037182156,-0.043428673,-0.044864599,-0.009708738,-0.033835446,-0.016981706,0.487667661,-0.01698009,1,
