,child neutral affect,cleanup not requested,no child independent clean up,v direct concrete inst,p touching toys for cleanup,v small mission steps,no compliance - Passive,p signal const,yes compliance,v positive feedback,p positive feedback,v signal const,v perspective/mirroring,p mother cleanup,v concern,p concern exp,child positive affect,v choice,p gentle touch for clean up,v rational,p affection expression,v motivation arousal,v unclear,v inadequate perspective/invalidation,v action oriented feedback,v affection,v hostility,no compliance - Defiance,p modeling,v modeling,p forceful touch for cleanup,child negative affect,no compliance - Refusal,child alert,no inadequate boundaries setting,indecisive expectations setting,legitimazinig expectation violation,v glorificaion feedback,v negative cr,yes child independent clean up,v threat punishment,p motivational arrousal,child tired,v material reward,v negative feedback,unclear compiance
p positive feedback,0.6797,0.969,0.953,0.8842,0.4305,0.108,0.9893,0.0063,0.3444,0.0128,0,0.5574,0.0259,0.3493,0.8796,0.878,0.9641,0.9856,0.262,0.2161,0.3113,0.066,0.4552,0.1156,0.8702,0.7755,0.1527,0.1916,0.8032,0.8659,0.4475,0.4477,0.9631,0.6609,0.4594,0.0899,0.6523,0.1895,0.2093,0.953,0.5995,0.1932,0.4476,0.9807,0.3577,0.5995
v signal const,0.151,0.2943,0.0018,0.0001,0.0831,0.0223,0.0142,0.0242,0.1497,0.0427,0.5574,0,0.6888,0.0764,0.6103,0.9522,0.085,0.9873,0.0335,0.3482,0.6476,0.8559,0.1697,0.0249,0.8094,0.0604,0.1704,0.18,0.129,0.0529,0.2527,0.2957,0.9197,0.419,0.4663,0.1598,0.797,0.3907,0.3233,0.0018,0.1143,0.8241,0.0961,0.1127,0.3218,0.335
v perspective/mirroring,0.2578,0.0029,0.9773,0.0026,0.0029,0,0,0.0112,0.0044,0.0018,0.0259,0.6888,0,0.5452,0.8252,0.3234,0.0923,0.1137,0.3555,0.0001,0.0155,0.0264,0.5594,0.2834,0.341,0.0757,0.2279,0.6077,0.1767,0.0211,0.955,0.6019,0.0296,0.2697,0.7563,0.7171,0.1721,0.0956,0.6507,0.9773,0.9466,0.9558,0.1887,0.7416,0.3218,0.4503
p mother cleanup,0.0203,0.0641,0.073,0.1722,0.9283,0.2736,0.1575,0.3121,0.8321,0.0973,0.3493,0.0764,0.5452,0,0.3796,0.1413,0.1139,0.1033,0.2645,0.2466,0,0.3627,0.7225,0.0713,0.8288,0.43,0.6357,0.0423,0.2467,0.9118,0.6953,0.0266,0.0204,0.1475,0.2842,0.3101,0.1755,0.9124,0.1865,0.073,0.9602,0.5043,0.7782,0.9363,0.7595,0.6171
v concern,0.5679,0.8216,0.1116,0.3113,0.2003,0.4794,0.4867,0.1602,0.1765,0.5372,0.8796,0.6103,0.8252,0.3796,0,0,0.5684,0.1608,0.2883,0.8112,0.6033,0.7149,0.3935,0.3538,0.302,0.7804,0.0379,0.3066,0.0736,0.1073,0.836,0.5475,0.3618,0.9646,0.0894,0.5321,0.1198,0.5694,0.6894,0.1116,0.446,0.1824,0.3278,0.1202,0.5576,0.446
p concern exp,0.094,0.1772,0.5245,0.5088,0.0011,0.6563,0.7053,0.944,0.1332,0.4797,0.878,0.9522,0.3234,0.1413,0,0,0.8909,0.6695,0.7125,0.8286,0.3479,0.6498,0.2481,0.9235,0.7133,0.2644,0.4461,0.0935,0.5411,0.2794,0.0698,0.1039,0.7715,0.3876,0.4936,0.3955,0.2142,0.4729,0.7925,0.5245,0.6619,0.0533,0.4899,0.3741,0.4725,0.6619
child positive affect,0,0.2382,0.0813,0.0004,0.7015,0.7608,0.0021,0.2707,0.7156,0.4238,0.9641,0.085,0.0923,0.1139,0.5684,0.8909,0,0.2227,0.8387,0.8725,0.9028,0.3189,0.5943,0.1046,0.2408,0.88,0.0857,0.3005,0.5798,0.9147,0.0159,0.4532,0.0108,0.0138,0.8707,0.1821,0.3923,0.7542,0.0195,0.0813,0.0036,0.6689,0.512,0.3571,0.5121,0.0024
v choice,0.828,0.0689,0.1521,0.3048,0.1999,0.6508,0.4933,0.0465,0.0232,0.164,0.9856,0.9873,0.1137,0.1033,0.1608,0.6695,0.2227,0,0.8715,0.6214,0.2027,0.8143,0.1513,0.9978,0.7869,0.9883,0.8997,0.4108,0.9006,0.7778,0.2512,0.7188,0.4951,0.0268,0.0278,0.8078,0.1481,0.5568,0.0783,0.1521,0.6959,0.1714,0.4939,0.4271,0.3524,0.6959
p gentle touch for clean up,0.1518,0.771,0.0054,0.0007,0.009,0.085,0.0612,0.0476,0.0462,0.2249,0.262,0.0335,0.3555,0.2645,0.2883,0.7125,0.8387,0.8715,0,0.1926,0.075,0.3952,0.7245,0.433,0.5849,0.0075,0.5866,0.028,0.2489,0.052,0.8893,0.1574,0.0301,0.9417,0.1295,0.3391,0.1377,0.3963,0.6405,0.0054,0.2723,0.7667,0.12,0.8536,0.5529,0.9183
v rational,0.8257,0.0621,0.436,0.1563,0.8468,0.3132,0.4409,0.4821,0.6403,0.2779,0.2161,0.3482,0.0001,0.2466,0.8112,0.8286,0.8725,0.6214,0.1926,0,0.0837,0.876,0.1567,0.3585,0.6922,0.5318,0.6503,0.4218,0.6864,0.2001,0.2411,0.9667,0.1214,0.3343,0.0115,0.1461,0.0589,0.171,0.4106,0.436,0.1048,0.7818,0.013,0.8505,0.3531,0.3201
p affection expression,0.0895,0.0667,0.6799,0.0246,0.6427,0.5447,0.3988,0.7344,0.871,0.3782,0.3113,0.6476,0.0155,0,0.6033,0.3479,0.9028,0.2027,0.075,0.0837,0,0.9524,0.9144,0.3544,0.6411,0.024,0.7248,0.2263,0.0642,0.0268,0.651,0.0167,0.0307,0.6645,0.4829,0.4918,0.196,0.7471,0.7799,0.6799,0.4262,0.5549,0.5219,0.5593,0.1626,0.4262
v motivation arousal,0.3127,0.7792,0.5953,0.2352,0.0719,0.0482,0.0763,0.0763,0.0019,0.0004,0.066,0.8559,0.0264,0.3627,0.7149,0.6498,0.3189,0.8143,0.3952,0.876,0.9524,0,0.424,0.5176,0.1998,0.1448,0.3566,0.4808,0.441,0.2878,0.5265,0.5779,0.0122,0.1046,0.3796,0.6949,0.6348,0.3459,0.8404,0.5953,0.3051,0,0.6651,0.4036,0.2454,0.0449
v unclear,0.2227,0.9527,0.5202,0.4007,0.6713,0.7687,0.3058,0.458,0.6104,0.0727,0.4552,0.1697,0.5594,0.7225,0.3935,0.2481,0.5943,0.1513,0.7245,0.1567,0.9144,0.424,0,0.3134,0.0217,0.8768,0.2906,0.7081,0.9506,0.9192,0.6839,0.2719,0.1727,0.0797,0.9055,0.1143,0.2242,0.5942,0.5337,0.5202,0.8894,0.6279,0.8079,0.7778,0.8079,0.8894
v inadequate perspective/invalidation,0.0001,0.1108,0.1681,0.091,0.4325,0.7837,0.2407,0.4563,0.5637,0.9608,0.1156,0.0249,0.2834,0.0713,0.3538,0.9235,0.1046,0.9978,0.433,0.3585,0.3544,0.5176,0.3134,0,0.3871,0.1686,0.0028,0.0129,0.2629,0.2173,0.086,0.0001,0.0304,0.6815,0.4914,0.5866,0.2121,0.3799,0.0191,0.1681,0.1305,0.1917,0.3324,0.0097,0.7986,0.0283
v action oriented feedback,0.0542,0.0489,0.051,0.5084,0.9902,0.8579,0.1919,0.5948,0.3235,0.0031,0.8702,0.8094,0.341,0.8288,0.302,0.7133,0.2408,0.7869,0.5849,0.6922,0.6411,0.1998,0.0217,0.3871,0,0.0694,0.4383,0.0412,0.6605,0.6462,0.3704,0.099,0.33,0.2528,0.0212,0.1709,0.0818,0.318,0.6497,0.051,0.7601,0.2859,0.593,0.2616,0.5931,0.7601
v affection,0.5029,0.0256,0.0904,0,0.4627,0.3096,0.0762,0.0847,0.4564,0.4383,0.7755,0.0604,0.0757,0.43,0.7804,0.2644,0.88,0.9883,0.0075,0.5318,0.024,0.1448,0.8768,0.1686,0.0694,0,0.0261,0.0118,0.3363,0.0357,0.939,0.393,0.2926,0.7887,0.0413,0.1254,0.0081,0.6222,0.7549,0.0904,0.9598,0.882,0.6454,0.8743,0.833,0.6262
v hostility,0.1062,0.4523,0.8479,0.1099,0.3024,0.8867,0.566,0.9651,0.3032,0.2849,0.1527,0.1704,0.2279,0.6357,0.0379,0.4461,0.0857,0.8997,0.5866,0.6503,0.7248,0.3566,0.2906,0.0028,0.4383,0.0261,0,0.0633,0.9896,0.3999,0.0031,0.3018,0.7775,0.6366,0.0303,0.0322,0.0432,0.4051,0.0059,0.8479,0.1034,0.6218,0.3444,0.1591,0.0668,0.0215
no compliance - Defiance,0.0136,0,0.183,0.0053,0.0651,0.8936,0.0317,0.8688,0.1634,0.1039,0.1916,0.18,0.6077,0.0423,0.3066,0.0935,0.3005,0.4108,0.028,0.4218,0.2263,0.4808,0.7081,0.0129,0.0412,0.0118,0.0633,0,0.0199,0.0021,0.1432,0.0147,0.1682,0.003,0,0,0,0.3557,0.0047,0.183,0.3668,0.2281,0.4751,0.4286,0.0158,0.8517
